matrix_side,classic_single,single_time,2_time,4_time,8_time,10_time,64_time
500,0.064629,0.064673,0.034559,0.017413,0.021308,0.027303,0.021312
550,0.093685,0.093303,0.048630,0.024577,0.028600,0.035222,0.028750
600,0.126603,0.125353,0.065792,0.041008,0.035979,0.040703,0.038045
650,0.168784,0.168666,0.088538,0.045627,0.047909,0.052815,0.048279
700,0.213533,0.213739,0.110622,0.057498,0.066469,0.067626,0.060455
750,0.257098,0.257548,0.132157,0.066266,0.073562,0.085875,0.070542
800,0.298782,0.299650,0.154102,0.081468,0.088487,0.102264,0.085258
850,0.377440,0.377929,0.196026,0.099107,0.097472,0.112374,0.098915
900,0.462176,0.455607,0.238280,0.120201,0.125722,0.141707,0.126831
950,0.548344,0.546568,0.283360,0.141812,0.157479,0.172234,0.146251
